,text,true_labels,pred_labels
0,"  Network virtualization techniques allow for the coexistence of many virtual
networks (VNs) jointly sharing the resources of an underlying substrate
network. The Virtual Network Embedding problem (VNE) arises when looking for
the most profitable set of VNs to embed onto the substrate. In this paper, we
address the offline version of the problem. We propose a Mixed-Integer Linear
Programming formulation to solve it to optimality which accounts for acceptance
and rejection of virtual network requests, allowing for both splittable and
unsplittable (single path) routing schemes. Our formulation also considers a
Rent-at-Bulk (RaB) model for the rental of substrate capacities where economies
of scale apply. To better emphasize the importance of RaB, we also compare our
method to a baseline one which only takes RaB into account a posteriori, once a
solution to VNE, oblivious to RaB, has been found. Computational experiments
show the viability of our approach, stressing the relevance of addressing RaB
directly with an exact formulation
",1,3
1,"  In a significant minority of cases, certain pronouns, especially the pronoun
it, can be used without referring to any specific entity. This phenomenon of
pleonastic pronoun usage poses serious problems for systems aiming at even a
shallow understanding of natural language texts. In this paper, a novel
approach is proposed to identify such uses of it: the extrapositional cases are
identified using a series of queries against the web, and the cleft cases are
identified using a simple set of syntactic rules. The system is evaluated with
four sets of news articles containing 679 extrapositional cases as well as 78
cleft constructs. The identification results are comparable to those obtained
by human efforts.
",6,1
2,"  In modern programming languages, exception handling is an effective mechanism
to avoid unexpected runtime errors. Thus, failing to catch and handle
exceptions could lead to serious issues like system crashing, resource leaking,
or negative end-user experiences. However, writing correct exception handling
code is often challenging in mobile app development due to the fast-changing
nature of API libraries for mobile apps and the insufficiency of their
documentation and source code examples. Our prior study shows that in practice
mobile app developers cause many exception-related bugs and still use bad
exception handling practices (e.g. catch an exception and do nothing). To
address such problems, in this paper, we introduce two novel techniques for
recommending correct exception handling code. One technique, XRank, recommends
code to catch an exception likely occurring in a code snippet. The other,
XHand, recommends correction code for such an occurring exception. We have
developed ExAssist, a code recommendation tool for exception handling using
XRank and XHand. The empirical evaluation shows that our techniques are highly
effective. For example, XRank has top-1 accuracy of 70% and top-3 accuracy of
87%. XHand's results are 89% and 96%, respectively.
",5,3
3,"  Developer forums contain opinions and information related to the usage of
APIs. API names in forum posts are often not explicitly linked to their
official resources. Automatic linking of an API mention to its official
resources can be challenging for various reasons, such as, name overloading. We
present a technique, ANACE, to automatically resolve API mentions in the
textual contents of forum posts. Given a database of APIs, we first detect all
words in a forum post that are potential references to an API. We then use a
combination of heuristics and machine learning to eliminate false positives and
to link true positives to the actual APIs and their resources.
",5,1
4,"  In this paper we propose a cycle redundancy technique that provides optical
networks almost fault-tolerant point-to-point and multipoint-to-multipoint
communications. The technique more importantly is shown to approximately halve
the necessary light-trail resources in the network while maintaining the
fault-tolerance and dependability expected from cycle-based routing. For
efficiency and distributed control, it is common in distributed systems and
algorithms to group nodes into intersecting sets referred to as quorum sets.
Optimal communication quorum sets forming optical cycles based on light-trails
have been shown to flexibly and efficiently route both point-to-point and
multipoint-to-multipoint traffic requests. Commonly cycle routing techniques
will use pairs of cycles to achieve both routing and fault-tolerance, which
uses substantial resources and creates the potential for underutilization.
Instead, we intentionally utilize redundancy within the quorum cycles for
fault-tolerance such that almost every point-to-point communication occurs in
more than one cycle. The result is a set of cycles with 96.60% - 99.37% fault
coverage, while using 42.9% - 47.18% fewer resources.
",4,3
5,"  We propose a new dataset for evaluating question answering models with
respect to their capacity to reason about beliefs. Our tasks are inspired by
theory-of-mind experiments that examine whether children are able to reason
about the beliefs of others, in particular when those beliefs differ from
reality. We evaluate a number of recent neural models with memory augmentation.
We find that all fail on our tasks, which require keeping track of inconsistent
states of the world; moreover, the models' accuracy decreases notably when
random sentences are introduced to the tasks at test.
",3,2
6,"  Public networks are exposed to port scans from the Internet. Attackers search
for vulnerable services they can exploit. In large scan campaigns, attackers
often utilize different machines to perform distributed scans, which impedes
their detection and might also camouflage the actual goal of the scanning
campaign. In this paper, we present a correlation algorithm to detect scans,
identify potential relations among them, and reassemble them to larger
campaigns. We evaluate our approach on real-world Internet traffic and our
results indicate that it can summarize and characterize standalone and
distributed scan campaigns based on their tools and intention.
",5,1
7,"  Cognitive radio networks (CRNs) have emerged as a promising solution to
enhance spectrum utilization by using unused or less used spectrum in radio
environments. The basic idea of CRNs is to allow secondary users (SUs) access
to licensed spectrum, under the condition that the interference perceived by
the primary users (PUs) is minimal. In CRNs, the channel availability is
uncertainty due to the existence of PUs, resulting in intermittent
communication. Transmission control protocol (TCP) performance may
significantly degrade in such conditions. To address the challenges, some
transport protocols have been proposed for reliable transmission in CRNs. In
this paper we survey the state-of-the-art transport protocols for CRNs. We
firstly highlight the unique aspects of CRNs, and describe the challenges of
transport protocols in terms of PU behavior, spectrum sensing, spectrum
changing and TCP mechanism itself over CRNs. Then, we provide a summary and
comparison of existing transport protocols for CRNs. Finally, we discuss
several open issues and research challenges. To the best of our knowledge, our
work is the first survey on transport protocols for CRNs.
",2,3
8,"  We show that the edit distance between two run-length encoded strings of
compressed lengths $m$ and $n$ respectively, can be computed in
$\mathcal{O}(mn\log(mn))$ time. This improves the previous record by a factor
of $\mathcal{O}(n/\log(mn))$. The running time of our algorithm is within
subpolynomial factors of being optimal, subject to the standard SETH-hardness
assumption. This effectively closes a line of algorithmic research first
started in 1993.
",1,6
9,"  We study an online knapsack problem where the items arrive sequentially and
must be either immediately packed into the knapsack or irrevocably discarded.
Each item has a different size and the objective is to maximize the total size
of items packed. We focus on the class of randomized algorithms which initially
draw a threshold from some distribution, and then pack every fitting item whose
size is at least that threshold. Threshold policies satisfy many desiderata
including simplicity, fairness, and incentive-alignment. We derive two optimal
threshold distributions, the first of which implies a competitive ratio of
0.432 relative to the optimal offline packing, and the second of which implies
a competitive ratio of 0.428 relative to the optimal fractional packing. We
also consider the generalization to multiple knapsacks, where an arriving item
has a different size in each knapsack and must be placed in at most one. This
is equivalent to the AdWords problem where item truncation is not allowed. We
derive a randomized threshold algorithm for this problem which is
0.214-competitive. We also show that any randomized algorithm for this problem
cannot be more than 0.461-competitive, providing the first upper bound which is
strictly less than 0.5. This online knapsack problem finds applications in many
areas, like supply chain ordering, online advertising, and healthcare
scheduling, refugee integration, and crowdsourcing. We show how our optimal
threshold distributions can be naturally implemented in the warehouses for a
Latin American chain department store. We run simulations on their large-scale
order data, which demonstrate the robustness of our proposed algorithms.
",4,6
10,"  Seasoned Excel developers were invited to participate in a challenge to
implement a spreadsheet with multi-dimensional variables. We analyzed their
spreadsheet to see the different implement strategies employed. We identified
two strategies: most participants used a projection of three or
four-dimensional variables on the two-dimensional plane used by Excel. A few
participants used a database approach where the multi-dimensional variables are
presented in the form of a dataset table with the appropriate primary key. This
approach leads to simpler formulas.
",3,4
11,"  In this paper, we introduce the concept of a virtual machine with
graph-organised memory as a versatile backend for both explicit-state and
abstraction-driven verification of software. Our virtual machine uses the LLVM
IR as its instruction set, enriched with a small set of hypercalls. We show
that the provided hypercalls are sufficient to implement a small operating
system, which can then be linked with applications to provide a
POSIX-compatible verification environment. Finally, we demonstrate the
viability of the approach through a comparison with a more
traditionally-designed LLVM model checker.
",1,2
12,"  Multilingual text processing is useful because the information content found
in different languages is complementary, both regarding facts and opinions.
While Information Extraction and other text mining software can, in principle,
be developed for many languages, most text analysis tools have only been
applied to small sets of languages because the development effort per language
is large. Self-training tools obviously alleviate the problem, but even the
effort of providing training data and of manually tuning the results is usually
considerable. In this paper, we gather insights by various multilingual system
developers on how to minimise the effort of developing natural language
processing applications for many languages. We also explain the main guidelines
underlying our own effort to develop complex text mining software for tens of
languages. While these guidelines - most of all: extreme simplicity - can be
very restrictive and limiting, we believe to have shown the feasibility of the
approach through the development of the Europe Media Monitor (EMM) family of
applications (http://emm.newsbrief.eu/overview.html). EMM is a set of complex
media monitoring tools that process and analyse up to 100,000 online news
articles per day in between twenty and fifty languages. We will also touch upon
the kind of language resources that would make it easier for all to develop
highly multilingual text mining applications. We will argue that - to achieve
this - the most needed resources would be freely available, simple, parallel
and uniform multilingual dictionaries, corpora and software tools.
",2,5
13,"  This paper considers peer-to-peer scheduling for a network with multiple
wireless devices. A subset of the devices are mobile users that desire specific
files. Each user may already have certain popular files in its cache. The
remaining devices are access points that typically have access to a larger set
of files. Users can download packets of their requested file from an access
point or from a nearby user. Our prior work optimizes peer scheduling in a
general setting, but the resulting delay can be large when applied to mobile
networks. This paper focuses on the mobile case, and develops a new algorithm
that reduces delay by opportunistically grabbing packets from current
neighbors. However, it treats a simpler model where each user desires a single
file with infinite length. An algorithm that provably optimizes throughput
utility while incentivizing participation is developed for this case. The
algorithm extends as a simple heuristic in more general cases with finite file
sizes and random active and idle periods.
",2,6
14,"  BIP70 is the Bitcoin payment protocol for communication between a merchant
and a pseudonymous customer. McCorry et al. (FC~2016) showed that BIP70 is
prone to refund attacks and proposed a fix that requires the customer to sign
their refund request. They argued that this minimal change will provide
resistance against refund attacks. In this paper, we point out the drawbacks of
McCorry et al.'s fix and propose a new approach for protection against refund
attacks using the Bitcoin multi-signature mechanism. Our solution does not rely
on merchants storing refund requests, and unlike the previous solution, allows
updating refund addresses through email. We discuss the security of our
proposed method and compare it with the previous solution. We also propose a
novel application of our refund mechanism in providing anonymity for payments
between a payer and payee in which merchants act as mixing servers. We finally
discuss how to combine the above two mechanisms in a single payment protocol to
have an anonymous payment protocol secure against refund attacks.
",6,0
15,"  Although public clouds still occupy the largest portion of the total cloud
infrastructure, private clouds are attracting increasing interest from both
industry and academia because of their better security and privacy control.
According to the existing studies, the high upfront cost is among the most
critical challenges associated with private clouds. To reduce cost and improve
performance, virtual machine placement (VMP) methods have been extensively
investigated, however, few of these methods have focused on private clouds.
This paper proposes a heterogeneous and multidimensional clairvoyant dynamic
bin packing (CDBP) model, in which the scheduler can conduct more efficient VMP
processes using additional information on the arrival time and duration of
virtual machines to reduce the datacenter scale and thereby decrease the
upfront cost of private clouds. In addition, a novel branch-and-bound algorithm
with a divide-and-conquer strategy (DCBB) is proposed to effectively and
efficiently handle the derived problem. One state-of-the-art and several
classic VMP methods are also modified to adapt to the proposed model to observe
their performance and compare with our proposed algorithm. Extensive
experiments are conducted on both real-world and synthetic workloads to
evaluate the accuracy and efficiency of the algorithms. The experimental
results demonstrate that DCBB delivers near-optimal solutions with a
convergence rate that is much faster than those of the other search-based
algorithms evaluated. In particular, DCBB yields the optimal solution for a
real-world workload with an execution time that is an order of magnitude
shorter than that required by the original branch-and-bound (BB) algorithm.
",2,1
16,"  Virtualization promises significant benefits in security, efficiency,
dependability, and cost. Achieving these benefits depends upon the reliability
of the underlying virtual machine monitors (hypervisors). This paper describes
an ongoing project to develop and verify MinVisor, a simple but functional
Type-I x86 hypervisor, proving protection properties at the assembly level
using ACL2. Originally based on an existing research hypervisor, MinVisor
provides protection of its own memory from a malicious guest. Our long-term
goal is to fully verify MinVisor, providing a vehicle to investigate the
modeling and verification of hypervisors at the implementation level, and also
a basis for further systems research. Functional segments of the MinVisor C
code base are translated into Y86 assembly, and verified with respect to the
Y86 model. The inductive assertions (also known as ""compositional cutpoints"")
methodology is used to prove the correctness of the code. The proof of the code
that sets up the nested page tables is described. We compare this project to
related efforts in systems code verification and outline some useful steps
forward.
",2,6
17,"  In this paper we provide an abstract model theory for the untyped
differential lambda-calculus and the resource calculus. In particular we
propose a general definition of model of these calculi, namely the notion of
linear reflexive object in a Cartesian closed differential category. Examples
of models based on relations are provided.
",3,5
18,"  The detection of a volumetric attack involves collecting statistics on the
network traffic, and identifying suspicious activities. We assume that
available statistical information includes the number of packets and the number
of bytes passed per flow. We apply methods of machine learning to detect
malicious traffic. A prototype project is implemented as a module for the
Floodlight controller. The prototype was tested on the Mininet simulation
platform. The simulated topology includes a number of edge switches, a
connected graph of core switches, and a number of server and user hosts. The
server hosts run simple web servers. The user hosts simulate web clients. The
controller employs Dijkstra's algorithm to find the best flow in the graph. The
controller periodically polls the edge switches and provides current and
historical statistics on each active flow. The streaming analytics evaluates
the traffic volume and detects volumetric attacks.
",1,3
19,"  Internet-scale services rely on data partitioning and replication to provide
scalable performance and high availability. Moreover, to reduce user-perceived
response times and tolerate disasters (i.e., the failure of a whole
datacenter), services are increasingly becoming geographically distributed.
Data partitioning and replication, combined with local and geographical
distribution, introduce daunting challenges, including the need to carefully
order requests among replicas and partitions. One way to tackle this problem is
to use group communication primitives that encapsulate order requirements. This
paper presents a detailed performance evaluation of Multi-Ring Paxos, a
scalable group communication primitive. We focus our analysis on ""extreme
conditions"" with deployments including high-end 10 Gbps networks, a large
number of combined rings (i.e., independent Paxos instances), a large number of
replicas in a ring, and a global deployment. We also report on the performance
of recovery under peak load and present two novel extensions to boost
Multi-Ring Paxos's performance.
",1,2
20,"  Access control is an important component for web services such as a cloud.
Current clouds tend to design the access control mechanism together with the
policy language on their own. It leads to two issues: (i) a cloud user has to
learn different policy languages to use multiple clouds, and (ii) a cloud
service provider has to customize an authorization mechanism based on its
business requirement, which brings high development cost. In this work, a new
access control policy language called PERM modeling language (PML) is proposed
to express various access control models such as access control list (ACL),
role-based access control (RBAC) and attribute-based access control (ABAC),
etc. PML's enforcement mechanism is designed in an interpreter-on-interpreter
manner, which not only secures the authorization code with sandboxing, but also
extends PML to all programming languages that support Lua. PML is already
adopted by real-world projects such as Intel's RMD, VMware's Dispatch, Orange's
Gobis and so on, which proves PML's usability. The performance evaluation on
OpenStack, CloudStack and Amazon Web Services (AWS) shows PML's enforcement
overhead per request is under 5.9us.
",6,4
21,"  Selectional preferences have long been claimed to be essential for
coreference resolution. However, they are mainly modeled only implicitly by
current coreference resolvers. We propose a dependency-based embedding model of
selectional preferences which allows fine-grained compatibility judgments with
high coverage. We show that the incorporation of our model improves coreference
resolution performance on the CoNLL dataset, matching the state-of-the-art
results of a more complex system. However, it comes with a cost that makes it
debatable how worthwhile such improvements are.
",6,3
